Name,Line,Sentiment,Irony
Hermione Granger,That's barbaric. I...,0.0,[ 1.186917   -0.43489265]
Griphook,We'll only have a few seconds. In other words... they'll be no do-,-0.1083333333333333,[ 1.5596473  -0.69536567]
Griphook,"Ready, Bogrod?",0.2,[ 2.1845503 -1.2441651]
Bogrod,Hm? Oh. Yes. Of course.,0.0,[0.5086463  0.02525279]
Harry Potter,Lumos !,0.0,[-0.05994634  0.70769036]
Ron Weasley,Lumos !,0.0,[-0.05994634  0.70769036]
Hermione Granger,Lumos !,0.0,[-0.05994634  0.70769036]
Ron Weasley,Blimey...,0.0,[ 0.8558131  -0.11412833]
Hermione Granger,Look.,0.0,[0.26357916 0.2959326 ]
Hermione Granger,No wonder Bellatrix thought it was real.,0.2,[-0.91809744  1.2845764 ]
Ron Weasley,"Is it here, Harry? Can you feel anything?",0.0,[ 2.3204715 -1.4239249]
Hermione Granger,"It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.",-0.1041666666666666,[ 1.5302918 -0.8799709]
Hermione Granger,"Ron, your foot!",0.0,[ 0.8792827  -0.10262084]
Griphook,We'll be crushed! Hurry!,-0.15625,[ 1.5113604  -0.69736445]
Harry Potter,That's it. Up there.,0.0,[ 1.5052103  -0.59984666]
Hermione Granger,How're we going to reach it?,0.0,[ 2.2420144 -1.3025267]
Harry Potter,Give me the sword! The real one.,0.2,[ 2.1090689 -1.0079786]
Ron Weasley,Keep going!,0.0,[ 1.4442452 -0.5546841]
Hermione Granger,Harry! Behind you!,-0.5,[ 0.88610595 -0.2751193 ]
Ron Weasley,The cup!,0.0,[ 0.8446459  -0.04146587]
Hermione Granger,In here!,0.0,[ 1.4394866 -0.5451599]
Harry Potter,"We have a deal, Griphook.",0.0,[0.49601883 0.02039144]
Griphook,I said I'd get you in. I never said anything about getting you out.,0.0,[ 1.383469  -0.7105393]
Harry Potter,Griphook! Griphook!,0.0,[ 1.2077998  -0.41569167]
Griphook,Thieves! Help! Thieves!,0.0,[ 0.6096875  -0.28284177]
Ron Weasley,Foul little git. Least we've got Bogrod.,-0.24375,[ 1.129935   -0.37216878]
Ron Weasley,That's unfortunate.,-0.5,[0.43719938 0.3518628 ]
Hermione Granger,We can't just stand here! Who's got an idea?,0.0,[ 2.3786814 -1.463049 ]
Ron Weasley,You're asking us? You're the brilliant one.,0.9,[-0.38528228  0.714199  ]
Hermione Granger,I've got something. But it's mad.,-0.625,[ 1.8686631 -0.9469407]
Hermione Granger,Relashio!,0.0,[ 1.117009   -0.14741695]
Ron Weasley,That's your idea?,0.0,[ 1.279721   -0.71503395]
